dialog_id,utterance_index,speaker,text
CCPE-8e113,0,ASSISTANT,generally speaking what type of movies do you watch
CCPE-8e113,1,USER,I like thrillers a lot.
CCPE-8e113,2,ASSISTANT,thrillers? for example?
CCPE-8e113,3,USER,Zodiac's one of my favorite movies.
CCPE-8e113,4,USER,"Zodiac the movie about a serial killer from the '60s or '70s, around there."
CCPE-8e113,5,ASSISTANT,"Zodiac? oh wow ok, what do you like about that movie"
CCPE-8e113,6,USER,"And I just think serial killers, in general, are interesting, so the movie was really good. And it was just neat to see that world. Like it went really in-depth. It was like almost 3 hours long, so you got to really feel like you were a part of that world and time period. And see what the detectives and the police did and the investigators."
CCPE-8e113,7,ASSISTANT,so you feel like you were part of that world ?
CCPE-8e113,8,USER,Yeah. It was really an immersive movie.
CCPE-8e113,9,ASSISTANT,if you were in the movie what character do you feel most relatable
CCPE-8e113,10,USER,"Probably the main character, Robert Graysmith, just cuz he's awkward and bumbly. So, I guess that's the one I would be the closest to."
CCPE-8e113,11,ASSISTANT,what scene do you like the best
CCPE-8e113,12,USER,Probably the most memorable one is the murder at the lake. Just cuz it's really vivid and horrific to watch. But it's very memorable.
CCPE-8e113,13,ASSISTANT,"ok nice, any other similiar movies you have seen recently?"
CCPE-8e113,14,USER,Not that I can think of.
CCPE-8e113,15,ASSISTANT,how about different type of movies like Once Upon a Deadpool
CCPE-8e113,16,USER,I haven't seen that.
CCPE-8e113,17,ASSISTANT,have you heard of that movie
CCPE-8e113,18,USER,"I've heard of it, but I haven't seen it."
CCPE-8e113,19,ASSISTANT,would you be interested to watch it
CCPE-8e113,20,USER,"Not particularly. I don't really like comic book movies that much. But I really wanted to see Deadpool, so I'd probably be more willing to watch that than most comic book movies."
CCPE-8e113,21,ASSISTANT,oh what makes deadpool different than the others?
CCPE-8e113,22,USER,"I don't know. It just seems a unique concept and different, not just the standard superhero movie."
CCPE-8e113,23,USER,"And it's more of a comedy, so that's unique."
CCPE-8e113,24,ASSISTANT,"ok so you enjoy comedy as well, correct?"
CCPE-8e113,25,USER,"Yep, I think most people do."
CCPE-8e113,26,ASSISTANT,what type of movie you don't enjoy?
CCPE-8e113,27,USER,"I'm not a big action movie fan like Die Hard or like Rambo movies. I don't hate them, I just think they're boring. Like I can't watch a lot of them, or else I get sick of them."
CCPE-8e113,28,ASSISTANT,what about mission impossible?
CCPE-8e113,29,USER,"Never seen it. I know what it is, but I haven't seen it."
CCPE-8e113,30,ASSISTANT,do you care who acts in the movie?
CCPE-8e113,31,USER,Just in general? I'm not I'm not picky about actors. Like I won't see a movie just cuz I don't like the actor in it.
CCPE-8e113,32,ASSISTANT,oh ok so you dont have a favorite actor is that right
CCPE-8e113,33,USER,"I mean I like certain actors more than others, but I wouldn't say I have a favorite actor."
CCPE-8e113,34,ASSISTANT,ok who came to your mind when it comes to actors you like to see in the movie
CCPE-8e113,35,ASSISTANT,what is your favorite Tom Hanks movie?
CCPE-8e113,36,USER,Catch Me If You Can
CCPE-8e113,37,ASSISTANT,what so great about that movie
CCPE-8e113,38,USER,"It's just an interesting story and it's based on a true story and it's got Leonardo Dicaprio in it, another good actor."
CCPE-8e113,39,ASSISTANT,do you think that movie is exciting?
CCPE-8e113,40,USER,Yep.
CCPE-8e113,41,ASSISTANT,which scene you find most memorable?
CCPE-8e113,42,USER,It's been a long time since I've seen that movie. I can't think of any specific scene.
CCPE-75731,0,ASSISTANT,what kind of movies do you generally like?
CCPE-75731,1,USER,"Yeah, I mostly like comedy movies."
CCPE-75731,2,ASSISTANT,I see. Why do you like that kind of movie?
CCPE-75731,3,USER,"Well I like that kind of movie because you know, it'll make me laugh, and I often watch movies with my girlfriend, and I want to make sure whatever we watch, it's something we can both enjoy and and relax while watching."
CCPE-75731,4,ASSISTANT,That seems really nice. Can you think of a movie you really enjoyed recently?
CCPE-75731,5,USER,"Yeah, I really enjoyed The Longest Yard with Adam Sandler."
CCPE-75731,6,ASSISTANT,What did you like about that movie?
CCPE-75731,7,USER,"I liked the acting. It's a lot of humor and gags in the movie. It had a good pace, good pacing. The story made sense."
CCPE-75731,8,USER,"Yeah, very funny movie."
CCPE-75731,9,ASSISTANT,I see. That's really helpful.
CCPE-75731,10,USER,Oh great.
CCPE-75731,11,ASSISTANT,Now I'd like to know what kinds of movies you dislike if that's okay?
CCPE-75731,12,USER,"Yeah, sure."
CCPE-75731,13,USER,"Good question. Not really a fan of Hallmark movies, that kind of romantic comedy. Mostly because they typically have pretty bad acting. Yeah, not for me."
CCPE-75731,14,ASSISTANT,Why else don't you like those?
CCPE-75731,15,USER,"Well, I guess another reason would be that the stories are all typically same or very similar. There's no"
CCPE-75731,16,USER,It's just it's just very boiler plate. There's nothing There's not much new about each new Hallmark movie.
CCPE-75731,17,ASSISTANT,I see. They're pretty cookie-cutter it sounds like
CCPE-75731,18,USER,That's exactly right.
CCPE-75731,19,ASSISTANT,"So based on what you told me, I'm curious, did you see Jurassic World?"
CCPE-75731,20,USER,"I have not seen Jurassic World, no."
CCPE-75731,21,USER,But I saw the original Jurassic Park
CCPE-75731,22,ASSISTANT,What did you think of the original?
CCPE-75731,23,USER,I liked the original a lot. Very creative movie. Very ahead of it's time with the computer generated imagery CGI.
CCPE-75731,24,USER,"Yeah, it is it still holds up. It's still is a great movie even compared to anything that that's coming out today."
CCPE-75731,25,ASSISTANT,That's great. So if you liked the original would you consider seeing Jurassic World given the option to?
CCPE-75731,26,USER,"Yeah, I would I would certainly consider it, yes."
CCPE-75731,27,USER,"I don't know too much about it, but I I think I saw the commercial for it."
CCPE-6faee,0,ASSISTANT,What kinds of movies do you like?
CCPE-6faee,1,USER,I really like comedy movies.
CCPE-6faee,2,ASSISTANT,Why do you like comedies?
CCPE-6faee,3,USER,"I love to laugh and comedy movies, that's their whole purpose. Make you laugh."
CCPE-6faee,4,ASSISTANT,"Alright, how about a movie you liked?"
CCPE-6faee,5,USER,I liked Step Brothers.
