movieId,title,genres,year,tmdb_id,tmdb_title,tmdb_release_date,tmdb_overview,tmdb_runtime,tmdb_genres,tmdb_top_cast,tmdb_keywords
1,Toy Story (1995),Animation|Children's|Comedy,1995,862,Toy Story,1995-11-22,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",81,"Family, Comedy, Animation, Adventure","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn","rescue, friendship, mission, jealousy, villain, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness, toy, pixar"
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,8844,Jumanji,1995-12-15,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",104,"Adventure, Fantasy, Family","Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Jonathan Hyde","giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel, vibrant"
3,Grumpier Old Men (1995),Comedy|Romance,1995,15602,Grumpier Old Men,1995-12-22,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",101,"Romance, Comedy","Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah","fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks"
4,Waiting to Exhale (1995),Comedy|Drama,1995,31357,Waiting to Exhale,1995-12-22,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",127,"Comedy, Drama, Romance","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines","based on novel or book, single mother, divorce, anxious, friendship between women, cautionary, adoring, celebratory, comforting, african american romance, african american friendship"
5,Father of the Bride Part II (1995),Comedy,1995,11862,Father of the Bride Part II,1995-12-08,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",106,"Comedy, Family","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern","daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, pregnant woman, contraception, gynecologist, pregnant"
6,Heat (1995),Action|Crime|Thriller,1995,949,Heat,1995-12-15,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,170,"Crime, Drama, Action","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore","robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, cynical, ex-con, one last job, loner, bank job, neo-noir, crime epic, antagonistic, assertive, authoritarian, bold"
7,Sabrina (1995),Comedy|Romance,1995,11860,Sabrina,1995-12-15,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.",127,"Romance, Drama, Comedy","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood","chauffeur, sibling relationship, paris, france, transformation, birthday party, family business , long island, new york, playboy, teenage crush, millionaire, marriage engagement, high society, merger, impossible love, family disapproval, scheme, wealth differences, wealthy family, father daughter relationship, brother brother relationship, unlikely romance, romantic"
8,Tom and Huck (1995),Adventure|Children's,1995,45325,Tom and Huck,1995-12-22,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",97,"Family, Action, Adventure, Drama","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright","based on novel or book, mississippi river, male friendship, restless youth, rural americana"
9,Sudden Death (1995),Action,1995,9091,Sudden Death,1995-10-27,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,110,"Action, Drama, Thriller, Crime","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger","explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins"
10,GoldenEye (1995),Action|Adventure|Thriller,1995,710,GoldenEye,1995-11-16,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",130,"Adventure, Action, Thriller","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker","computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army"
