movie_id,raw_title,genres,title,year
8,Edison Kinetoscopic Record of a Sneeze (1894),Documentary|Short,Edison Kinetoscopic Record of a Sneeze,1894
10,La sortie des usines Lumière (1895),Documentary|Short,La sortie des usines Lumière,1895
12,The Arrival of a Train (1896),Documentary|Short,The Arrival of a Train,1896
25,The Oxford and Cambridge University Boat Race (1895),,The Oxford and Cambridge University Boat Race,1895
91,Le manoir du diable (1896),Short|Horror,Le manoir du diable,1896
131,Une nuit terrible (1896),Short|Comedy|Horror,Une nuit terrible,1896
417,A Trip to the Moon (1902),Short|Action|Adventure|Comedy|Fantasy|Sci-Fi,A Trip to the Moon,1902
439,The Great Train Robbery (1903),Short|Action|Crime|Western,The Great Train Robbery,1903
443,"Hiawatha, the Messiah of the Ojibway (1903)",,"Hiawatha, the Messiah of the Ojibway",1903
628,The Adventures of Dollie (1908),Action|Short,The Adventures of Dollie,1908
833,The Country Doctor (1909),Short|Drama,The Country Doctor,1909
1223,Frankenstein (1910),Short|Horror|Sci-Fi,Frankenstein,1910
1740,The Lonedale Operator (1911),Short|Drama|Romance,The Lonedale Operator,1911
2101,Cleopatra (1912),Drama|History,Cleopatra,1912
2130,L'inferno (1911),Adventure|Drama|Fantasy|Horror,L'inferno,1911
2354,Max et Jane veulent faire du théâtre (1911),Short|Comedy|Romance,Max et Jane veulent faire du théâtre,1911
2844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama,Fantômas - À l'ombre de la guillotine,1913
3740,Cabiria (1914),Adventure|Drama|History,Cabiria,1914
3863,Dough and Dynamite (1914),Comedy|Short,Dough and Dynamite,1914
4099,"His Majesty, the Scarecrow of Oz (1914)",Family|Fantasy|Adventure|Comedy,"His Majesty, the Scarecrow of Oz",1914
4100,His Musical Career (1914),Short|Comedy,His Musical Career,1914
4101,His New Profession (1914),Short|Comedy,His New Profession,1914
4210,Laughing Gas (1914),Short|Comedy,Laughing Gas,1914
4395,The New Janitor (1914),Short|Comedy,The New Janitor,1914
4413,The Ocean Waif (1916),Short|Comedy|Drama,The Ocean Waif,1916
4457,The Patchwork Girl of Oz (1914),Adventure|Family|Fantasy,The Patchwork Girl of Oz,1914
4518,Recreation (1914),Comedy|Short,Recreation,1914
4546,The Rounders (1914),Comedy|Short,The Rounders,1914
4936,The Bank (1915),Comedy|Short,The Bank,1915
4972,The Birth of a Nation (1915),Drama|History|War,The Birth of a Nation,1915
5074,The Champion (1915),Short|Comedy|Sport,The Champion,1915
5078,The Cheat (1915),Drama,The Cheat,1915
5530,L'héroïsme de Paddy (1915),,L'héroïsme de Paddy,1915
5571,A Jitney Elopement (1915),Short|Comedy,A Jitney Elopement,1915
5960,Regeneration (1915),Biography|Crime|Drama|Romance,Regeneration,1915
6177,The Tramp (1915),Short|Comedy,The Tramp,1915
