movie_id,cluster_id,cluster_genre
1,7,Comedy
2,7,Comedy
3,0,Comedy
4,14,Drama
5,14,Drama
6,18,Drama
7,14,Drama
8,13,Drama
9,20,Drama
10,20,Drama
11,14,Drama
12,5,Horror
13,7,Comedy
14,6,Drama
15,22,Drama
16,18,Drama
17,6,Drama
18,0,Comedy
19,0,Comedy
20,18,Drama
21,18,Drama
22,11,Drama
23,20,Drama
24,12,Drama
25,12,Drama
26,6,Drama
27,14,Drama
28,6,Drama
29,10,Drama
30,1,Drama
31,8,Drama
32,10,Drama
33,23,Drama
34,7,Comedy
35,6,Drama
36,4,Drama
37,23,Drama
38,8,Drama
39,14,Drama
40,12,Drama
41,6,Drama
42,18,Drama
43,6,Drama
44,22,Drama
45,11,Drama
46,15,Comedy
47,18,Drama
48,7,Comedy
49,14,Drama
50,18,Drama
51,11,Drama
52,0,Comedy
53,9,Drama
54,0,Comedy
55,8,Drama
56,22,Drama
57,8,Drama
58,6,Drama
59,23,Drama
60,7,Comedy
61,11,Drama
62,12,Drama
63,0,Comedy
64,14,Drama
65,10,Drama
66,10,Drama
67,0,Comedy
68,14,Drama
69,0,Comedy
70,5,Horror
71,18,Drama
72,0,Comedy
73,6,Drama
74,14,Drama
75,0,Comedy
76,10,Drama
77,21,Documentary
78,11,Drama
79,4,Drama
80,19,Drama
81,18,Drama
82,6,Drama
83,12,Drama
84,8,Drama
85,6,Drama
86,12,Drama
87,0,Comedy
88,0,Comedy
89,20,Drama
90,6,Drama
92,5,Horror
93,5,Horror
94,8,Drama
95,20,Drama
96,0,Comedy
97,9,Drama
98,18,Drama
99,21,Documentary
100,18,Drama
101,0,Comedy
102,23,Drama
103,11,Drama
104,0,Comedy
105,6,Drama
106,14,Drama
107,7,Comedy
108,23,Drama
109,18,Drama
110,24,Drama
111,18,Drama
112,18,Drama
113,11,Drama
114,6,Drama
115,9,Drama
116,21,Documentary
117,4,Drama
118,14,Drama
119,0,Comedy
120,10,Drama
121,1,Drama
122,0,Comedy
123,14,Drama
124,23,Drama
125,0,Comedy
126,22,Drama
127,1,Drama
128,1,Drama
129,14,Drama
130,8,Drama
131,24,Drama
132,11,Drama
133,9,Drama
134,2,Documentary
135,0,Comedy
136,21,Documentary
137,0,Comedy
138,12,Drama
139,17,Drama
140,14,Drama
141,0,Comedy
142,24,Drama
143,9,Drama
144,12,Drama
145,18,Drama
146,7,Comedy
147,12,Drama
148,6,Drama
149,11,Drama
150,10,Drama
151,22,Drama
152,5,Horror
153,18,Drama
154,6,Drama
155,11,Drama
156,0,Comedy
157,1,Drama
158,7,Comedy
159,18,Drama
160,22,Drama
161,21,Documentary
162,21,Documentary
163,13,Drama
164,4,Drama
165,18,Drama
166,10,Drama
167,23,Drama
168,22,Drama
169,7,Comedy
170,20,Drama
171,14,Drama
172,10,Drama
173,10,Drama
174,0,Comedy
175,8,Drama
176,0,Comedy
177,5,Horror
178,14,Drama
179,14,Drama
180,14,Drama
181,22,Drama
182,6,Drama
183,1,Drama
184,5,Horror
185,11,Drama
186,14,Drama
187,8,Drama
188,22,Drama
189,8,Drama
190,8,Drama
191,6,Drama
192,21,Documentary
193,8,Drama
194,0,Comedy
195,8,Drama
196,10,Drama
197,12,Drama
198,11,Drama
199,6,Drama
200,23,Drama
201,7,Comedy
202,6,Drama
203,14,Drama
204,20,Drama
205,0,Comedy
206,21,Documentary
207,24,Drama
208,10,Drama
209,12,Drama
210,13,Drama
211,23,Drama
212,0,Comedy
213,6,Drama
214,24,Drama
215,14,Drama
216,0,Comedy
217,8,Drama
218,14,Drama
219,12,Drama
220,23,Drama
222,14,Drama
223,0,Comedy
224,15,Comedy
225,11,Drama
226,11,Drama
227,20,Drama
228,18,Drama
229,6,Drama
230,1,Drama
231,0,Comedy
232,14,Drama
233,14,Drama
234,18,Drama
235,0,Comedy
236,14,Drama
237,14,Drama
238,7,Comedy
239,7,Comedy
240,23,Drama
241,7,Comedy
242,6,Drama
243,7,Comedy
244,7,Comedy
245,18,Drama
246,21,Documentary
247,6,Drama
248,1,Drama
249,6,Drama
250,1,Drama
251,20,Drama
252,14,Drama
253,5,Horror
254,6,Drama
255,1,Drama
256,0,Comedy
257,18,Drama
258,22,Drama
259,18,Drama
260,10,Drama
261,8,Drama
262,8,Drama
263,6,Drama
264,11,Drama
265,9,Drama
266,13,Drama
267,1,Drama
268,18,Drama
269,9,Drama
270,14,Drama
271,12,Drama
272,6,Drama
273,5,Horror
274,23,Drama
275,0,Comedy
276,0,Comedy
